,cpu_usage,mem_usage_mb,app_rps_1m,ingress_rps_1m,rps_diff_1m,app_p99_latency,ingress_p99_latency,nginx_active_conn,nginx_writing_conn,latency_gap
2026-04-06 14:53:11,0.11381448521665068,31.5546875,10.436363636363636,9.9,0.5363636363636353,0.0495,0.04926492537313433,12.0,1.0,0.0046679104477612005
2026-04-06 14:53:26,0.1133904055677535,33.109375,10.527272727272727,9.9,0.627272727272727,0.0495,0.04926492537313433,12.0,1.0,0.0046679104477612005
2026-04-06 14:53:41,0.1469323943094345,32.03125,11.763636363636364,10.933333333333334,0.8303030303030301,0.0495,0.09085714285714276,17.0,1.0,0.002803571428571419
2026-04-06 14:53:56,0.16666565777921535,31.69921875,13.254545454545454,10.933333333333334,2.3212121212121204,0.0495,0.09085714285714276,17.0,1.0,0.002803571428571419
2026-04-06 14:54:11,0.1856957936489085,31.58203125,14.381818181818181,15.333333333333334,0.951515151515153,0.0495,0.04954022988505748,17.0,1.0,0.005247126436781609
2026-04-06 14:54:26,0.17840551298865645,32.34765625,15.6,15.333333333333334,0.2666666666666657,0.0495,0.04954022988505748,17.0,1.0,0.005247126436781609
2026-04-06 14:54:41,0.18858416632378916,32.8203125,15.399999999999999,14.833333333333334,0.5666666666666647,0.04950000000000001,0.05550000000000029,17.0,2.0,0.0039005102040816364
2026-04-06 14:54:56,0.18349173296092175,32.3125,15.163636363636362,14.833333333333334,0.3303030303030283,0.04950000000000001,0.05550000000000029,17.0,2.0,0.0039005102040816364
2026-04-06 14:55:11,0.19557329736697632,31.828125,15.763636363636364,15.066666666666666,0.6969696969696972,0.0495,0.07488888888888906,17.0,1.0,0.002934343434343435
2026-04-06 14:55:26,0.19062366989262847,32.70703125,15.436363636363636,15.066666666666666,0.3696969696969692,0.0495,0.07488888888888906,17.0,1.0,0.002934343434343435
2026-04-06 14:55:41,0.1883588603330447,32.984375,15.690909090909091,14.866666666666667,0.8242424242424242,0.0495,0.04933152173913045,17.0,1.0,0.00501630434782608
2026-04-06 14:55:56,0.17322921024010693,26.2265625,15.436363636363636,14.866666666666667,0.5696969696969685,0.0495,0.04933152173913045,17.0,1.0,0.00501630434782608
2026-04-06 14:56:11,0.13966830636287236,26.2265625,15.29090909090909,15.066666666666666,0.2242424242424228,0.0495,0.04877777777777779,17.0,1.0,0.007000000000000006
2026-04-06 14:56:26,0.16805443895215896,29.75390625,15.436363636363636,15.066666666666666,0.3696969696969692,0.0495,0.04877777777777779,17.0,1.0,0.007000000000000006
2026-04-06 14:56:41,0.19663750939345154,32.3125,16.636363636363637,15.633333333333333,1.0030303030303038,0.04950000000000001,0.09568749999999974,22.0,2.0,0.002907738095238109
