,cpu_usage,mem_usage_mb,app_rps_1m,app_rps_irate,ingress_rps_1m,rps_diff_1m,app_p99_latency,ingress_p50_latency,ingress_p75_latency,ingress_p95_latency,ingress_p99_latency,nginx_active_conn,nginx_writing_conn,latency_gap
2026-04-07 09:41:41,0.4113872686288312,33.09375,45.909090909090914,47.199999999999996,44.83482782759426,1.0742630814966532,0.09745910418695228,0.4084525702172761,0.642384105960265,0.9850993377483446,2.2541935483870974,56.0,39.0,1.3292946900782763
2026-04-07 09:41:56,0.4985684884907589,33.015625,46.218181818181826,47.4,47.49841671944269,1.2802349012608616,0.09744515181194909,0.41151026392961876,0.6757655116841258,1.1887209302325576,2.3493720930232582,55.0,11.0,1.2016653023328796
2026-04-07 09:42:11,0.4984318286097467,33.03515625,47.41818181818182,48.2,47.49841671944268,0.08023490126085875,0.09743640776699028,0.41151026392961876,0.6757655116841258,1.1887209302325576,2.3493720930232582,55.0,11.0,1.2016952357627164
2026-04-07 09:42:26,0.4984894841441288,33.25390625,48.27272727272727,49.2,48.333333333333336,0.06060606060606233,0.09745067698259187,0.35251913265306123,0.565065065065065,0.9874874874874875,2.2468208092485544,55.0,13.0,0.4008758696592115
2026-04-07 09:42:41,0.49844501877142344,33.06640625,48.12727272727273,44.4,48.333333333333336,0.2060606060606034,0.09746583253128006,0.35251913265306123,0.565065065065065,0.9874874874874875,2.2468208092485544,55.0,13.0,0.4007921300093463
2026-04-07 09:42:56,0.4996917242278138,33.05859375,47.20000000000001,47.0,45.8,1.4000000000000128,0.09754087452471483,0.30247187685020727,0.459702486678508,0.9271819526627216,2.021571428571432,56.0,12.0,0.8064183410263372
2026-04-07 09:43:11,0.4992530050587092,33.125,47.36363636363637,48.0,45.8,1.5636363636363697,0.09757116279069766,0.30247187685020727,0.459702486678508,0.9271819526627216,2.021571428571432,56.0,12.0,0.8063587653309136
2026-04-07 09:43:26,0.49931620454545494,33.359375,45.87272727272728,45.4,45.46666666666667,0.40606060606061334,0.09760258780036968,0.3226643598615917,0.47361591695501726,0.9477428180574552,2.138999999999994,56.0,25.0,1.505433125049437
2026-04-07 09:43:41,0.49972785003491443,33.65234375,45.30909090909092,42.8,45.46666666666667,0.15757575757574926,0.09765710382513662,0.3226643598615917,0.47361591695501726,0.9477428180574552,2.138999999999994,56.0,25.0,1.5053839387171375
2026-04-07 09:43:56,0.4972390376918678,33.2734375,45.38181818181819,49.4,44.833333333333336,0.5484848484848541,0.09772756119673619,0.41546285377358494,0.6806340872374796,1.1820422535211248,2.332183098591548,56.0,7.0,1.453487335834897
2026-04-07 09:44:11,0.4960901745382039,33.3515625,45.78181818181819,47.2,44.833333333333336,0.9484848484848527,0.09776144688644689,0.41546285377358494,0.6806340872374796,1.1820422535211248,2.332183098591548,56.0,7.0,1.4535251479289943
2026-04-07 09:44:26,0.4958518124121489,33.26953125,45.909090909090914,42.0,46.2,0.29090909090908923,0.09776611418047886,0.4064764492753623,0.6690008361204012,1.1901162790697672,2.3329069767441877,56.0,29.0,0.7906888323318918
2026-04-07 09:44:41,0.49865986424157965,33.3203125,46.98181818181819,48.6,46.2,0.7818181818181884,0.09777571825764599,0.4064764492753623,0.6690008361204012,1.1901162790697672,2.3329069767441877,56.0,29.0,0.7907866951954873
2026-04-07 09:44:56,0.4201985610177543,33.3203125,47.34545454545455,47.599999999999994,47.36666666666667,0.02121212121211613,0.09770848880597016,0.37860438292964244,0.5922787193973634,0.9832391713747647,2.21565217391304,56.0,27.0,0.857854023950972
2026-04-07 09:45:11,0.49982530120481994,33.59375,47.14545454545455,44.8,47.36666666666667,0.22121212121211897,0.0976489971346705,0.37860438292964244,0.5922787193973634,0.9832391713747647,2.21565217391304,56.0,27.0,0.8579190141348312
2026-04-07 09:45:26,0.4017062930976971,33.59375,47.30909090909092,49.2,45.7,1.6090909090909165,0.09760890609874157,0.3611685625646329,0.49618665977249227,0.9409737417943105,1.9655434782608643,56.0,21.0,0.8603909925484637
2026-04-07 09:45:41,0.49973851542803566,33.3515625,45.87272727272728,46.8,45.7,0.17272727272727906,0.09760641399416914,0.3611685625646329,0.49618665977249227,0.9409737417943105,1.9655434782608643,56.0,21.0,0.8602007841341613
2026-04-07 09:45:56,0.49973851542803566,33.3515625,44.38181818181819,40.6,43.333333333333336,1.0484848484848541,0.0975947521865889,0.42185807150595883,0.6755905511811022,0.997795275590551,2.3100552486187853,56.0,25.0,1.6523630831642988
2026-04-07 09:46:11,0.49982624449008733,33.36328125,44.509090909090915,42.8,43.333333333333336,1.1757575757575793,0.09761790182868141,0.42185807150595883,0.6755905511811022,0.997795275590551,2.3100552486187853,56.0,25.0,1.6522369999999986
2026-04-07 09:46:26,0.4256589718389319,33.36328125,44.78181818181819,47.2,45.6,0.818181818181813,0.09757951219512194,0.48224722384570434,0.7736444855206409,1.4230694980694982,2.3587451737451737,56.0,21.0,1.5837017655367234
2026-04-07 09:46:41,0.422469978204455,33.86328125,45.92727272727274,46.6,45.6,0.32727272727273515,0.09757884427032319,0.48224722384570434,0.7736444855206409,1.4230694980694982,2.3587451737451737,56.0,21.0,1.583792774308653
2026-04-07 09:46:56,0.49999079649218103,33.3515625,47.65454545454546,50.800000000000004,47.93333333333333,0.2787878787878668,0.09757504970178928,0.455410225921522,0.7441196236559142,1.3567729083665339,2.3382868525896425,56.0,25.0,0.8169997136484204
2026-04-07 09:47:11,0.4218266247180061,33.36328125,48.145454545454555,50.8,47.93333333333333,0.21212121212122526,0.09755328685258961,0.455410225921522,0.7441196236559142,1.3567729083665339,2.3382868525896425,56.0,25.0,0.8171944102153352
2026-04-07 09:47:26,0.5000091103128745,33.38671875,47.545454545454554,48.6,46.166666666666664,1.3787878787878896,0.09746196754563895,0.4038406624785837,0.6510290556900726,0.9892857142857142,2.182318435754192,56.0,27.0,0.8537524332315777
2026-04-07 09:47:41,0.500029337568905,33.38671875,47.254545454545465,48.800000000000004,46.166666666666664,1.0878787878788003,0.09749797570850201,0.4038406624785837,0.6510290556900726,0.9892857142857142,2.182318435754192,56.0,27.0,0.8535431216738351
2026-04-07 09:47:56,0.5000247958875108,33.30078125,46.763636363636365,52.199999999999996,46.53333333333333,0.230303030303034,0.09742548818088388,0.3760899182561308,0.5665673693858847,0.953276810265811,1.9454245283018798,56.0,22.0,0.8801901015672884
2026-04-07 09:48:11,0.5000229501807868,33.390625,46.60000000000001,44.2,46.53333333333333,0.06666666666667709,0.09736002066115704,0.3760899182561308,0.5665673693858847,0.953276810265811,1.9454245283018798,56.0,22.0,0.8801749888600562
2026-04-07 09:48:26,0.4182573930514334,33.390625,46.16363636363637,44.4,45.06666666666666,1.0969696969697083,0.09740717948717947,0.4074316463059918,0.6583200319233838,0.9881683958499603,2.218592814371259,56.0,32.0,1.3203390191897617
