,cpu_usage,mem_usage_mb,app_rps_1m,app_rps_irate,ingress_rps_1m,rps_diff_1m,app_p99_latency,ingress_p50_latency,ingress_p75_latency,ingress_p95_latency,ingress_p99_latency,nginx_active_conn,nginx_writing_conn,latency_gap
2026-04-07 08:37:49,0.11692708148016369,28.42578125,9.92727636370248,9.0000400080016,9.233333333333333,0.6939430303691481,0.09322289156626508,0.011065573770491806,0.03301056338028171,0.08684466019417479,0.16918750000000016,11.0,1.0,0.027223230490018235
2026-04-07 08:38:04,0.10552007954921638,29.421875,10.018181818181818,10.2,9.9,0.11818181818181728,0.09192142857142852,0.00817204301075269,0.026858108108108104,0.07561643835616433,0.09950684931506845,11.0,1.0,0.014960869565217513
2026-04-07 08:38:19,0.11633509947015896,29.390625,9.800003636429754,8.8000400080016,9.9,0.09999636357024677,0.09070833333333331,0.00817204301075269,0.026858108108108104,0.07561643835616433,0.09950684931506845,11.0,1.0,0.015607023411371282
2026-04-07 08:38:34,0.12000986880568744,29.67578125,9.709090909090909,11.599960007998401,8.833333333333334,0.8757575757575751,0.0901250000000001,0.0075,0.024324127906976745,0.0625480769230769,0.09481730769230771,11.0,1.0,0.03987994071146228
2026-04-07 08:38:49,0.11120425569721476,29.65625,9.527272727272727,9.4000400080016,8.833333333333334,0.6939393939393934,0.08918627450980396,0.0075,0.024324127906976745,0.0625480769230769,0.09481730769230771,11.0,1.0,0.03667806905370828
2026-04-07 08:39:04,0.11076927791044144,29.44140625,9.854545454545454,10.8,9.466666666666667,0.3878787878787868,0.0881808510638298,0.006839080459770113,0.02356936416184971,0.057613636363636284,0.09606818181818186,11.0,1.0,0.03737717391304349
2026-04-07 08:39:19,0.10507408952209513,30.02734375,9.909090909090908,9.799999999999999,9.466666666666667,0.4424242424242415,0.08840624999999992,0.006839080459770113,0.02356936416184971,0.057613636363636284,0.09606818181818186,11.0,1.0,0.03659954233409615
2026-04-07 08:39:34,0.10756480815739589,30.36328125,10.018181818181818,10.5999600079984,9.6,0.418181818181818,0.08582051282051294,0.005583333333333332,0.021795454545454555,0.04947222222222223,0.09375714285714284,11.0,2.0,0.028403361344538025
2026-04-07 08:39:49,0.10750246561708285,29.6171875,9.909087272793386,8.8,9.6,0.309087272793386,0.0847361111111112,0.005583333333333332,0.021795454545454555,0.04947222222222223,0.09375714285714284,11.0,2.0,0.026485714285714418
2026-04-07 08:40:04,0.10555552717732013,30.12109375,9.763632727338841,9.4,9.566666666666666,0.1969660606721746,0.08376470588235288,0.0049710648148148144,0.020323795180722883,0.04844726562499998,0.09259677419354834,11.0,1.0,0.03512179487179472
2026-04-07 08:40:19,0.10996643445218493,30.05859375,9.872727272727273,10.6,9.566666666666666,0.3060606060606066,0.08358823529411759,0.0049710648148148144,0.020323795180722883,0.04844726562499998,0.09259677419354834,11.0,1.0,0.034891025641025544
2026-04-07 08:40:34,0.10377455430730603,30.046875,9.672730909157027,9.8000400080016,9.266666666666666,0.4060642424903609,0.08458333333333343,0.005078947368421053,0.020382947976878615,0.04774224806201549,0.08874137931034491,11.0,1.0,0.03728285356695879
2026-04-07 08:40:49,0.10647255338944538,29.984375,9.636360000066114,9.4,9.266666666666666,0.3696933333994483,0.08376470588235288,0.005078947368421053,0.020382947976878615,0.04774224806201549,0.08874137931034491,11.0,1.0,0.038189716312056615
