locust-worker  | [2026-04-07 08:35:51,065] 6be49cab011a/INFO/root: Range prime result for n=1495: {"input":1495,"totalPrimesFound":238,"timeTaken":"0ms"}
locust-worker  | [2026-04-07 08:35:51,067] 6be49cab011a/INFO/root: Kth prime result for k=3714: {"inputK":3714,"result":34763,"timeTaken":"1ms"}
locust-worker  | [2026-04-07 08:35:51,077] 6be49cab011a/INFO/root: Kth prime result for k=15008: {"inputK":15008,"result":163909,"timeTaken":"8ms"}
locust-worker  | [2026-04-07 08:35:51,081] 6be49cab011a/INFO/root: Kth prime result for k=8399: {"inputK":8399,"result":86369,"timeTaken":"3ms"}
locust-worker  | [2026-04-07 08:35:51,083] 6be49cab011a/INFO/root: Range prime result for n=32203: {"input":32203,"totalPrimesFound":3455,"timeTaken":"1ms"}
locust-worker  | [2026-04-07 08:35:51,102] 6be49cab011a/INFO/root: Range prime result for n=311543: {"input":311543,"totalPrimesFound":26916,"timeTaken":"17ms"}
locust-worker  | [2026-04-07 08:35:51,103] 6be49cab011a/INFO/root: Check prime result for n=60003809: {"isPrime":false,"message":"60003809 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:51,188] 6be49cab011a/INFO/root: Kth prime result for k=45639: {"inputK":45639,"result":554167,"timeTaken":"81ms"}
locust-worker  | [2026-04-07 08:35:51,269] 6be49cab011a/INFO/root: Range prime result for n=467089: {"input":467089,"totalPrimesFound":38990,"timeTaken":"77ms"}
locust-worker  | [2026-04-07 08:35:52,066] 6be49cab011a/INFO/root: Kth prime result for k=27283: {"inputK":27283,"result":316109,"timeTaken":"15ms"}
locust-worker  | [2026-04-07 08:35:52,081] 6be49cab011a/INFO/root: Range prime result for n=278022: {"input":278022,"totalPrimesFound":24279,"timeTaken":"13ms"}
locust-worker  | [2026-04-07 08:35:52,096] 6be49cab011a/INFO/root: Range prime result for n=294888: {"input":294888,"totalPrimesFound":25605,"timeTaken":"13ms"}
locust-worker  | [2026-04-07 08:35:52,168] 6be49cab011a/INFO/root: Range prime result for n=396164: {"input":396164,"totalPrimesFound":33559,"timeTaken":"70ms"}
locust-worker  | [2026-04-07 08:35:52,172] 6be49cab011a/INFO/root: Kth prime result for k=7366: {"inputK":7366,"result":74713,"timeTaken":"2ms"}
locust-worker  | [2026-04-07 08:35:52,237] 6be49cab011a/INFO/root: Kth prime result for k=41781: {"inputK":41781,"result":503339,"timeTaken":"62ms"}
locust-worker  | [2026-04-07 08:35:52,238] 6be49cab011a/INFO/root: Check prime result for n=43443819: {"isPrime":false,"message":"43443819 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:52,241] 6be49cab011a/INFO/root: Check prime result for n=54524219: {"isPrime":false,"message":"54524219 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:52,293] 6be49cab011a/INFO/root: Range prime result for n=486080: {"input":486080,"totalPrimesFound":40452,"timeTaken":"50ms"}
locust-worker  | [2026-04-07 08:35:52,294] 6be49cab011a/INFO/root: Check prime result for n=30079752: {"isPrime":false,"message":"30079752 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:52,296] 6be49cab011a/INFO/root: Check prime result for n=33594175: {"isPrime":false,"message":"33594175 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:53,069] 6be49cab011a/INFO/root: Check prime result for n=56268545: {"isPrime":false,"message":"56268545 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:35:53,103] 6be49cab011a/INFO/root: Kth prime result for k=41286: {"inputK":41286,"result":496747,"timeTaken":"32ms"}
locust-worker  | [2026-04-07 08:35:53,170] 6be49cab011a/INFO/root: Range prime result for n=359627: {"input":359627,"totalPrimesFound":30736,"timeTaken":"64ms"}
locust-worker  | [2026-04-07 08:35:53,173] 6be49cab011a/INFO/root: Kth prime result for k=4835: {"inputK":4835,"result":46807,"timeTaken":"2ms"}
